Regions Code,Regions,Category,Observation
E12000009,South West,Mining & Quarrying,30783
E12000009,South West,"Professional, Scientific & Technical Activities",121613
E12000009,South West,Public Administration & Defence; Compulsory Social Security,259274
E12000009,South West,Real Estate Activities,52539
E12000009,South West,Transport & Storage,89842
E12000009,South West,"Water Supply, Sewerage, Waste & Remediation Activities",259050
E12000009,South West,Wholesale & Retail Trade; Repair of Motor Vehicles and Motorcycles,403925
W92000004,Wales,Accommodation & Food Service Activities,58009
W92000004,Wales,Administrative & Support Service Activities,179464
W92000004,Wales,"Agriculture, Forestry & Fishing",1872
W92000004,Wales,"Arts, Entertainment & Recreation",25396
W92000004,Wales,Education,137668
W92000004,Wales,"Electricity, Gas, Steam & Air Conditioning Supply",5781
W92000004,Wales,Financial & Insurance Activities,40022
W92000004,Wales,Human Health & Social Work Activities,104637
W92000004,Wales,Information & Communication,50206
W92000004,Wales,Manufacturing,104164
W92000004,Wales,Mining & Quarrying,20177
W92000004,Wales,"Professional, Scientific & Technical Activities",42583
W92000004,Wales,Public Administration & Defence; Compulsory Social Security,131149
W92000004,Wales,Real Estate Activities,21897
W92000004,Wales,Transport & Storage,39021
W92000004,Wales,"Water Supply, Sewerage, Waste & Remediation Activities",125306
W92000004,Wales,Wholesale & Retail Trade; Repair of Motor Vehicles and Motorcycles,203783
